t,product_id,product_name,total_supply,baseline_supply,shock_severity
24,0,product0,6001113.0,6002382.1,0.000211
24,1,product1,8002639.0,8003580.4,0.000118
24,2,product2,6998146.0,7003293.4,0.000735
24,3,product3,4999690.0,5002657.6,0.000593
24,4,product4,4996807.0,5003090.4,0.001256
25,0,product0,6001863.0,6002382.1,8.6e-05
25,1,product1,8003944.0,8003580.4,0.0
25,2,product2,6997798.0,7003293.4,0.000785
25,3,product3,5000884.0,5002657.6,0.000355
25,4,product4,5004772.0,5003090.4,0.0
26,0,product0,5999183.0,6002382.1,0.000533
26,1,product1,8000899.0,8003580.4,0.000335
26,2,product2,6999435.0,7003293.4,0.000551
26,3,product3,5000607.0,5002657.6,0.00041
26,4,product4,5001838.0,5003090.4,0.00025
27,0,product0,5999105.0,6002382.1,0.000546
27,1,product1,8000282.0,8003580.4,0.000412
27,2,product2,6998898.0,7003293.4,0.000628
27,3,product3,4994212.0,5002657.6,0.001688
27,4,product4,4997002.0,5003090.4,0.001217
28,0,product0,6000023.0,6002382.1,0.000393
28,1,product1,8003277.0,8003580.4,3.8e-05
28,2,product2,7000412.0,7003293.4,0.000411
28,3,product3,4998895.0,5002657.6,0.000752
28,4,product4,4998296.0,5003090.4,0.000958
29,0,product0,5997305.0,6002382.1,0.000846
29,1,product1,7997394.0,8003580.4,0.000773
29,2,product2,7000547.0,7003293.4,0.000392
29,3,product3,5000330.0,5002657.6,0.000465
29,4,product4,5002569.0,5003090.4,0.000104
30,0,product0,5998824.0,6002382.1,0.000593
30,1,product1,8003187.0,8003580.4,4.9e-05
30,2,product2,7005374.0,7003293.4,0.0
30,3,product3,5002250.0,5002657.6,8.1e-05
30,4,product4,4999932.0,5003090.4,0.000631
31,0,product0,5999607.0,6002382.1,0.000462
31,1,product1,7996605.0,8003580.4,0.000872
31,2,product2,7004314.0,7003293.4,0.0
31,3,product3,5000168.0,5002657.6,0.000498
31,4,product4,4997019.0,5003090.4,0.001214
32,0,product0,6000646.0,6002382.1,0.000289
32,1,product1,7992284.0,8003580.4,0.001411
32,2,product2,7000295.0,7003293.4,0.000428
32,3,product3,5000925.0,5002657.6,0.000346
32,4,product4,5001615.0,5003090.4,0.000295
33,0,product0,6001325.0,6002382.1,0.000176
33,1,product1,8002123.0,8003580.4,0.000182
33,2,product2,6997225.0,7003293.4,0.000867
33,3,product3,5000184.0,5002657.6,0.000494
33,4,product4,5000354.0,5003090.4,0.000547
34,0,product0,6000281.0,6002382.1,0.00035
34,1,product1,7997188.0,8003580.4,0.000799
34,2,product2,6994593.0,7003293.4,0.001242
34,3,product3,4995255.0,5002657.6,0.00148
34,4,product4,4997463.0,5003090.4,0.001125
35,0,product0,6001272.0,6002382.1,0.000185
35,1,product1,7995915.0,8003580.4,0.000958
35,2,product2,7003039.0,7003293.4,3.6e-05
35,3,product3,4999649.0,5002657.6,0.000601
35,4,product4,4999207.0,5003090.4,0.000776
36,0,product0,5998219.0,6002382.1,0.000694
36,1,product1,8001017.0,8003580.4,0.00032
36,2,product2,7003149.0,7003293.4,2.1e-05
36,3,product3,5000689.0,5002657.6,0.000394
36,4,product4,4999607.0,5003090.4,0.000696
37,0,product0,6001840.0,6002382.1,9e-05
37,1,product1,7998551.0,8003580.4,0.000628
37,2,product2,6999442.0,7003293.4,0.00055
37,3,product3,5001222.0,5002657.6,0.000287
37,4,product4,5001524.0,5003090.4,0.000313
38,0,product0,6002689.0,6002382.1,0.0
38,1,product1,8001349.0,8003580.4,0.000279
38,2,product2,6997627.0,7003293.4,0.000809
38,3,product3,4998640.0,5002657.6,0.000803
38,4,product4,5001133.0,5003090.4,0.000391
39,0,product0,5995824.0,6002382.1,0.001093
39,1,product1,8004642.0,8003580.4,0.0
39,2,product2,6996966.0,7003293.4,0.000903
39,3,product3,4999259.0,5002657.6,0.000679
39,4,product4,5001415.0,5003090.4,0.000335
40,0,product0,5996785.0,6002382.1,0.000932
40,1,product1,8003490.0,8003580.4,1.1e-05
40,2,product2,7002621.0,7003293.4,9.6e-05
40,3,product3,5002645.0,5002657.6,3e-06
40,4,product4,4998396.0,5003090.4,0.000938
41,0,product0,5999611.0,6002382.1,0.000462
41,1,product1,7997359.0,8003580.4,0.000777
41,2,product2,7002928.0,7003293.4,5.2e-05
41,3,product3,5003014.0,5002657.6,0.0
41,4,product4,5003182.0,5003090.4,0.0
42,0,product0,6001126.0,6002382.1,0.000209
42,1,product1,8000664.0,8003580.4,0.000364
42,2,product2,6997078.0,7003293.4,0.000887
42,3,product3,4996904.0,5002657.6,0.00115
42,4,product4,4999475.0,5003090.4,0.000723
43,0,product0,6001088.0,6002382.1,0.000216
43,1,product1,8001964.0,8003580.4,0.000202
43,2,product2,7003203.0,7003293.4,1.3e-05
43,3,product3,5001107.0,5002657.6,0.00031
43,4,product4,5000507.0,5003090.4,0.000516
44,0,product0,6001063.0,6002382.1,0.00022
44,1,product1,7997286.0,8003580.4,0.000786
44,2,product2,6998659.0,7003293.4,0.000662
44,3,product3,5001930.0,5002657.6,0.000145
44,4,product4,4998914.0,5003090.4,0.000835
45,0,product0,5999893.0,6002382.1,0.000415
45,1,product1,7997024.0,8003580.4,0.000819
45,2,product2,7001822.0,7003293.4,0.00021
45,3,product3,4999256.0,5002657.6,0.00068
45,4,product4,4998099.0,5003090.4,0.000998
46,0,product0,6000758.0,6002382.1,0.000271
46,1,product1,8001630.0,8003580.4,0.000244
46,2,product2,7005371.0,7003293.4,0.0
46,3,product3,5002249.0,5002657.6,8.2e-05
46,4,product4,5001031.0,5003090.4,0.000412
47,0,product0,5999409.0,6002382.1,0.000495
47,1,product1,8000000.0,8003580.4,0.000447
47,2,product2,7003005.0,7003293.4,4.1e-05
47,3,product3,4998176.0,5002657.6,0.000896
47,4,product4,4995799.0,5003090.4,0.001457
48,0,product0,5997599.0,6002382.1,0.000797
48,1,product1,7996578.0,8003580.4,0.000875
48,2,product2,6999486.0,7003293.4,0.000544
48,3,product3,4998829.0,5002657.6,0.000765
48,4,product4,5001306.0,5003090.4,0.000357
49,0,product0,6001052.0,6002382.1,0.000222
49,1,product1,7996531.0,8003580.4,0.000881
49,2,product2,6998762.0,7003293.4,0.000647
49,3,product3,4999517.0,5002657.6,0.000628
49,4,product4,4997729.0,5003090.4,0.001072
